Time (sec.),s14_easyJet_Services Time Taken Avg,s14_easyJet_Services Time Taken 90%,s14_easyJet_Services Time Taken COUNT,s14_easyJet_Services Time Taken Min,s14_easyJet_Services Time Taken Max,s14_easyJet_Services Request_getPassengerTypes: TimeTaken Min,s14_easyJet_Services Request_getPassengerTypes: TimeTaken Max,s14_easyJet_Services Request_getPassengerTypes: TimeTaken 90%,s14_easyJet_Services Request_getPassengerTypes: TimeTaken COUNT
4,10019.00,10019.00,1.00,10019.00,10019.00,10016.00,10016.00,10016.00,1.00
5,10016.00,10019.50,4.00,10013.00,10021.00,,,,
17,10016.00,10016.00,1.00,10016.00,10016.00,10013.00,10021.00,10020.20,5.00
18,10016.00,10019.70,4.00,10011.00,10020.00,,,,
20,83.00,83.00,1.00,83.00,83.00,83.00,10020.00,10019.60,5.00
31,2548.00,7033.60,4.00,13.00,10012.00,N/A,N/A,N/A,N/A
33,9023.00,9023.00,1.00,9023.00,9023.00,9719.00,9719.00,9719.00,1.00
34,7306.50,9778.50,4.00,12.00,9804.00,12.00,9804.00,9770.10,4.00
46,10019.00,10019.00,1.00,10019.00,10019.00,10014.00,10014.00,10014.00,1.00
47,10016.25,10019.10,4.00,10014.00,10020.00,10014.00,10020.00,10019.70,4.00
49,15.00,15.00,1.00,15.00,15.00,15.00,15.00,15.00,1.00
59,5113.50,9113.90,2.00,113.00,10114.00,113.00,10114.00,9113.90,2.00
60,10012.00,10012.80,2.00,10011.00,10013.00,10011.00,10013.00,10012.80,2.00
61,9118.00,9118.00,1.00,9118.00,9118.00,9118.00,9118.00,9118.00,1.00
63,2315.00,6451.10,4.00,11.00,9200.00,11.00,9200.00,6451.10,4.00
75,10013.00,10013.00,1.00,10013.00,10013.00,10013.00,10013.00,10013.00,1.00
76,10013.25,10014.40,4.00,10012.00,10015.00,10012.00,10015.00,10014.40,4.00
78,12.00,12.00,1.00,12.00,12.00,12.00,12.00,12.00,1.00
89,3367.33,8025.40,3.00,11.00,10012.00,11.00,10012.00,8025.40,3.00
90,10015.00,10015.00,1.00,10015.00,10015.00,10015.00,10015.00,10015.00,1.00
92,7180.75,9861.20,4.00,11.00,9884.00,11.00,9884.00,9861.20,4.00
103,10013.00,10013.00,1.00,10013.00,10013.00,10013.00,10013.00,10013.00,1.00
104,10046.33,10093.20,3.00,10012.00,10113.00,10012.00,10113.00,10093.20,3.00
106,5013.50,9013.90,2.00,13.00,10014.00,13.00,10014.00,9013.90,2.00
112,2512.50,4512.90,2.00,12.00,5013.00,12.00,5013.00,4512.90,2.00
117,10012.00,10012.00,1.00,10012.00,10012.00,10012.00,10012.00,10012.00,1.00
119,9531.50,9916.70,2.00,9050.00,10013.00,9050.00,10013.00,9916.70,2.00
120,0.00,0.00,3.00,0.00,0.00,4032.00,9990.00,9394.20,2.00
